index,Country,Emissions
0,Luxembourg,41.82
4,Singapore,21.87
6,United States,17.75
8,Canada,15.82
9,Belgium,15.61
10,Australia,15.59
12,Switzerland,14.25
14,Estonia,13.29
17,Finland,12.65
18,South Korea,12.5
19,Malta,11.09
20,Japan,11.06
21,Germany,10.84
22,Austria,10.53
23,Israel,10.14
24,Czech Republic,10.01
26,Norway,9.28
27,Denmark,9.22
28,Ireland,9.14
29,Netherlands,8.96
32,United Kingdom,8.46
33,New Zealand,8.42
36,Lithuania,7.88
38,Italy,7.68
40,Sweden,7.14
42,France,6.93
43,Cyprus,6.61
46,Spain,6.21
47,Latvia,6.2
52,Greece,5.67
55,Portugal,5.28
57,World,4.78
