Country,Emissions,GDP
Argentina,4.71,-0.53
Australia,15.59,-0.53
Austria,10.53,1.03
Belgium,15.61,0.3
Bolivia,0.47,-0.69
Brazil,2.52,-0.83
Canada,15.82,2.47
Chile,5.15,0.32
Colombia,2.06,-0.77
Costa Rica,1.34,-0.79
Cyprus,6.61,-0.74
Czech Republic,10.01,1.02
Denmark,9.22,0.86
Ecuador,2.86,-0.69
El Salvador,0.57,-0.85
Estonia,13.29,2.59
Finland,12.65,5.16
France,6.93,0.1
Germany,10.84,0.63
Greece,5.67,-0.51
Guatemala,0.49,-0.83
Honduras,0.5,-0.88
Ireland,9.14,0.47
Israel,10.14,-0.82
Italy,7.68,-0.27
Japan,11.06,-0.35
Latvia,6.2,1.9
Lithuania,7.88,1.57
Mexico,4.13,-0.73
Netherlands,8.96,0.31
New Zealand,8.42,-0.09
Norway,9.28,2.49
Panama,4.72,-0.85
Paraguay,0.78,-0.84
Peru,2.31,-0.51
Portugal,5.28,-0.41
Spain,6.21,0.46
Sweden,7.14,2.1
Switzerland,14.25,1.21
Trinidad and Tobago,13.1,-0.82
United Kingdom,8.46,0.42
United States,17.75,-0.36
Uruguay,2.04,-0.55
Venezuela,4.7,-0.91
World,4.78,-0.2
